* alf CMa|Sirius
* alf Car|Canopus
* alf Cen A|Rigil Kentaurus
* alf Boo|Arcturus
* alf Lyr|Vega
* alf Aur|Capella
* bet Ori|Rigel
* alf CMi|Procyon
* alf Eri|Achernar
* alf Ori|Betelgeuse
* bet Cen|Hadar
* alf Aql|Altair
* alf Cru|Acrux
* alf Tau|Aldebaran
* alf Sco|Antares
* alf Vir|Spica
* bet Gem|Pollux
* alf PsA|Fomalhaut
* alf Cyg|Deneb
* bet Cru|Mimosa
* alf Leo|Regulus
* eps CMa|Adhara
* alf Gem|Castor
* lam Sco|Shaula
* gam Cru|Gacrux
* gam Ori|Bellatrix
* bet Tau|Elnath
* bet Car|Miaplacidus
* eps Ori|Alnilam
* alf Gru|Alnair
* zet Ori|Alnitak
* eps UMa|Alioth
* alf UMa|Dubhe
* alf Per|Mirfak
* del CMa|Wezen
* gam Vel|Regor
* tet Sco|Sargas
* eps Sgr|Kaus Australis
* eps Car|Avior
* eta UMa|Alkaid
* bet Aur|Menkalinan
* alf TrA|Atria
* gam Gem|Alhena
* alf Pav|Peacock
* del Vel|Alsephina
* bet CMa|Mirzam
* alf UMi|Polaris
* alf Hya|Alphard
* alf Ari|Hamal
* bet Cet|Diphda
* zet01 UMa|Mizar
* sig Sgr|Nunki
* tet Cen|Menkent
* alf And|Alpheratz
* bet And|Mirach
* alf Oph|Rasalhague
* gam Leo|Algieba
* bet UMi|Kochab
* kap Ori|Saiph
* bet Leo|Denebola
* bet Per|Algol
* bet Gru|Tiaki
* gam Cen|Muhlifain
* iot Car|Aspidiske
* lam Vel|Suhail
* alf CrB|Alphecca
* del Ori|Mintaka
* gam Cyg|Sadr
* gam Dra|Eltanin
* alf Cas|Schedar
* zet Pup|Naos
* gam And|Almach
* bet Cas|Caph
* eps Boo|Izar
* del Sco|Dschubba
* eps Sco|Larawag
* bet UMa|Merak
* alf Phe|Ankaa
* kap Sco|Girtab
* eps Peg|Enif
* bet Peg|Scheat
* eta Oph|Sabik
* gam UMa|Phecda
* eta CMa|Aludra
* alf Cep|Alderamin
* kap Vel|Markeb
* alf Peg|Markab
* eps Cyg|Aljanah
* bet Sco|Acrab
